author,n_seed_dois_cited,n_citing_works,seed_dois
Felix Stein,2,2,10.1257/pandp.20201017; 10.3386/w26775
Francisco Gallego,2,2,10.3386/w28106; 10.3386/w31208
Frederico Finan,2,2,10.3386/w28726; 10.3386/w32728
Garima Sharma,2,2,10.1257/aeri.20210612; 10.3386/w30011
Girija Vaidyanathan,2,2,10.1257/aeri.20210612; 10.3386/w30011
Hitoshi Shigeoka,2,2,10.1257/aeri.20210612; 10.3386/w31554
Jules Gazeaud,2,2,10.3386/w23929; 10.3386/w30835
Kelsey Wright,2,2,10.1257/aeri.20210612; 10.3386/w28106
Kendall Hoyt,2,2,10.1257/pandp.20201017; 10.3386/w26775
Klaus Prettner,2,2,10.1257/pandp.20201017; 10.3386/w26775
Luke Kemp,2,2,10.1016/j.cognition.2021.104941; 10.1016/j.ijdrr.2022.102798
Madeline McKelway,2,2,10.1257/aeri.20210612; 10.3386/w30011
Marcella Alsan,2,2,10.1093/ej/uead102; 10.3386/w28726
Mark J. D. Jordans,2,2,10.1257/aeri.20210612; 10.3386/w30011
Maryam Kouchaki,2,2,10.1016/j.cognition.2021.104941; 10.3386/w28106
Matthew J. Kotchen,2,2,10.3386/w26775; 10.3386/w32728
Matthias Kalkuhl,2,2,10.3386/w23928; 10.3386/w32450
Matthias Rodemeier,2,2,10.3386/w30740; 10.3386/w31137
Maulik Jagnani,2,2,10.1257/aeri.20230431; 10.3386/w23929
Michael Kremer,2,2,10.1257/pandp.20201017; 10.3386/w26775
Michael Kühn,2,2,10.1257/pandp.20201017; 10.3386/w26775
Mika Akesaka,2,2,10.1257/aeri.20210612; 10.3386/w31554
Ming‐ang Zhang,2,2,10.1257/aer.20221215; 10.3386/w31554
Nikita Zakharov,2,2,10.2139/ssrn.4154000; 10.3386/w33018
Peter Schwardmann,2,2,10.2139/ssrn.3938994; 10.3386/w30011
Qiang Ji,2,2,10.1257/aer.20221215; 10.3386/w31137
Qiang Wang,2,2,10.3386/w23928; 10.3386/w31137
Richard Sedlmayr,2,2,10.1257/aeri.20210612; 10.3386/w30011
Rob Garlick,2,2,10.1257/aeri.20210612; 10.3386/w30011
Rohini Pande,2,2,10.3386/w23929; 10.3386/w31162
Samantha Kassirer,2,2,10.1016/j.cognition.2021.104941; 10.3386/w28106
Seán Ó hÉigeartaigh,2,2,10.3386/w26752; 10.48550/arxiv.2305.07153
Shuangyan Li,2,2,10.1257/aer.20221215; 10.3386/w23928
Siddhartha Roy,2,2,10.1093/wbro/lkae010; 10.3386/w26752
Sihan Zhang,2,2,10.1257/aer.20221215; 10.3386/w31554
Sofia Amaral,2,2,10.3386/w28106; 10.3386/w28726
Stefan Dercon,2,2,10.1257/aeri.20210612; 10.3386/w30011
Stuart Russell,2,2,10.3386/w23928; 10.48550/arxiv.2305.07153
Susan Athey,2,2,10.3386/w26775; 10.3386/w28726
Sutanuka Roy,2,2,10.3386/w30740; 10.3386/w32093
Tanvir Ahmed Mozumder,2,2,10.1257/aeri.20210612; 10.3386/w30011
Tanvir Shatil,2,2,10.1257/aeri.20210612; 10.3386/w30011
Xinze Li,2,2,10.1257/aer.20221215; 10.3386/w23929
Bingqian Tu,2,1,10.1257/aer.20221215; 10.3386/w31554
Björn Nilsson,2,1,10.1257/aeri.20210612; 10.3386/w30011
Chiara Dell’Aira,2,1,10.2139/ssrn.4154000; 10.3386/w30011
Clémence Pougué Biyong,2,1,10.1257/aeri.20210612; 10.3386/w30011
Daniel Bennett,2,1,10.3386/w28106; 10.3386/w30011
Danish Us-Salam,2,1,10.2139/ssrn.4154000; 10.3386/w30011
Debayan Pakrashi,2,1,10.1257/aeri.20210612; 10.3386/w28106
Ebenezer Kwabena Tetteh,2,1,10.1257/pandp.20201017; 10.3386/w26775
Firoz Ahmed,2,1,10.1257/aeri.20210612; 10.3386/w28106
George Lin,2,1,10.2139/ssrn.4154000; 10.3386/w28106
Jingqi Dang,2,1,10.1257/aer.20221215; 10.3386/w31554
Lina Meng,2,1,10.3386/w29357; 10.3386/w31137
Manuela Angelucci,2,1,10.3386/w28106; 10.3386/w30011
Matthew Z. Fowle,2,1,10.2139/ssrn.4154000; 10.3386/w28106
Michael Vlassopoulos,2,1,10.1257/aeri.20210612; 10.3386/w28106
Michelle Acampora,2,1,10.3386/w28106; 10.3386/w30011
Pengfei Liu,2,1,10.3386/w29357; 10.3386/w31137
Ru Yan,2,1,10.1257/aer.20221215; 10.3386/w31554
Sara R. Jaffee,2,1,10.2139/ssrn.4154000; 10.3386/w28106
Vahid Moghani,2,1,10.3386/w28106; 10.3386/w30011
Yufei Li,2,1,10.3386/w29357; 10.3386/w31137
Erik Brynjolfsson,1,6,10.3386/w23928
Jeffrey Yi‐Lin Forrest,1,6,10.3386/w23928
Florian Ulrich Jehn,1,5,10.1016/j.ijdrr.2022.102798
Hideki Nakamura,1,5,10.3386/w23928
Juan B. García Martínez,1,5,10.1016/j.ijdrr.2022.102798
Julia M. Puaschunder,1,5,10.3386/w23928
Lisa A. Gennetian,1,5,10.2139/ssrn.4154000
Aleena Asfa Durrani,1,4,10.2139/ssrn.4154000
Aleksandra Gracheva,1,4,10.2139/ssrn.4154000
Alexandra Symeonidou,1,4,10.2139/ssrn.4154000
Arun G. Chandrasekhar,1,4,10.3386/w28726
Ashleigh Messenger,1,4,10.2139/ssrn.4154000
Barbora Doubravová,1,4,10.2139/ssrn.4154000
Christian Gomes,1,4,10.2139/ssrn.4154000
Christos Makridis,1,4,10.3386/w23928
Clara Amanda Hu,1,4,10.2139/ssrn.4154000
Daria Stefania Pascu,1,4,10.2139/ssrn.4154000
Deniz Mısra Gürol,1,4,10.2139/ssrn.4154000
Eduardo García‐Garzón,1,4,10.2139/ssrn.4154000
Etienne Fize,1,4,10.2139/ssrn.4154000
Fredrik Nilsson,1,4,10.2139/ssrn.4154000
Harry Anthony Patrinos,1,4,10.3386/w31208
J. Boehm,1,4,10.2139/ssrn.4154000
Jennifer Chen,1,4,10.2139/ssrn.4154000
Julia Marie Oberschulte,1,4,10.2139/ssrn.4154000
Justine Li,1,4,10.2139/ssrn.4154000
Kai Ruggeri,1,4,10.2139/ssrn.4154000
Katherine Bibilouri,1,4,10.2139/ssrn.4154000
Katherinne Rabanal,1,4,10.2139/ssrn.4154000
Maksymilian Pyrkowski,1,4,10.2139/ssrn.4154000
Mathias Houe Andersen,1,4,10.2139/ssrn.4154000
Maximilian Kasy,1,4,10.2139/ssrn.4154000
Milica Vdović,1,4,10.2139/ssrn.4154000
Narjes Al-Zahli,1,4,10.2139/ssrn.4154000
Natalia Alexander,1,4,10.2139/ssrn.4154000
Neža Grilc,1,4,10.2139/ssrn.4154000
Nicholas Dutra,1,4,10.2139/ssrn.4154000
Olivia Symone Tutuska,1,4,10.2139/ssrn.4154000
Pascual Restrepo,1,4,10.3386/w23928
Pika Ranc,1,4,10.2139/ssrn.4154000
Qihang Yuan,1,4,10.2139/ssrn.4154000
Rachel Krasner,1,4,10.2139/ssrn.4154000
Romy Levin,1,4,10.2139/ssrn.4154000
Sarah Ashcroft-Jones,1,4,10.2139/ssrn.4154000
Sofia Pelica,1,4,10.2139/ssrn.4154000
Sun Young Park,1,4,10.2139/ssrn.4154000
Takahiro Kubo,1,4,10.1111/conl.13077
Takashi Obi,1,4,10.2139/ssrn.4154000
Tatianna Dugué,1,4,10.2139/ssrn.4154000
Xavier Jaravel,1,4,10.2139/ssrn.4154000
Zoe Heidenry,1,4,10.2139/ssrn.4154000
Žiga Mekiš Recek,1,4,10.2139/ssrn.4154000
Adam Osman,1,3,10.3386/w28726
Alesha Miller,1,3,10.1257/pandp.20201017
Alexander Mathys,1,3,10.1257/pandp.20201017
Andrew G. Mude,1,3,10.1257/pandp.20201017
Bing Zhang,1,3,10.1257/aer.20221215
Claire Cullen,1,3,10.3386/w31208
Claire Song,1,3,10.1257/pandp.20201017
Colin Crossley,1,3,10.3386/w31208
Cynthia Mathys,1,3,10.1257/pandp.20201017
Daniel L. Tortorice,1,3,10.1257/pandp.20201017
Daniel Mason-D’Croz,1,3,10.1257/pandp.20201017
Daron Acemoğlu,1,3,10.3386/w23928
Edward S. Buckler,1,3,10.1257/pandp.20201017
Elana Safran,1,3,10.3386/w28726
Elizabeth Bageant,1,3,10.1257/pandp.20201017
Enrique Ide,1,3,10.3386/w23928
Giampaolo Abate Romero Landini,1,3,10.2139/ssrn.4154000
H. Luke Shaefer,1,3,10.2139/ssrn.4154000
Hai Hong Trinh,1,3,10.3386/w31137
Isabella Culotta,1,3,10.1257/pandp.20201017
Isabelle Augenstein,1,3,10.3386/w26752
Jason Kerwin,1,3,10.3386/w28726
Jessica Fanzo,1,3,10.1257/pandp.20201017
Jiali Liu,1,3,10.1257/pandp.20201017
Jianbo Shen,1,3,10.1257/pandp.20201017
Joseph P. Kaboski,1,3,10.3386/w23929
Joël J. van der Weele,1,3,10.2139/ssrn.3938994
Juan F. Jimeno,1,3,10.3386/w23928
Kai Li,1,3,10.3386/w31137
Kamakhya Misra,1,3,10.1257/pandp.20201017
Karen Cooper,1,3,10.1257/pandp.20201017
Katherine Michelmore,1,3,10.2139/ssrn.4154000
Laté Lawson-Lartego,1,3,10.1257/pandp.20201017
Laura Derksen,1,3,10.3386/w28726
Lindiwe Majele Sibanda,1,3,10.1257/pandp.20201017
Liu Jun,1,3,10.3386/w23928
Mario Herrero,1,3,10.1257/pandp.20201017
Mark L. Kahn,1,3,10.1257/pandp.20201017
Markus Leippold,1,3,10.3386/w31137
Mattie Toma,1,3,10.3386/w28726
Michael Hinge,1,3,10.1016/j.ijdrr.2022.102798
Moumita Koley,1,3,10.3386/w26752
Natalia Ordaz Reynoso,1,3,10.3386/w28726
Natasha Pilkauskas,1,3,10.2139/ssrn.4154000
Noam Angrist,1,3,10.3386/w31208
Philip K. Thornton,1,3,10.1257/pandp.20201017
Pompa Debroy,1,3,10.3386/w28726
Quinn Marshall,1,3,10.1257/pandp.20201017
Rebecca Nelson,1,3,10.1257/pandp.20201017
Rikin Gandhi,1,3,10.1257/pandp.20201017
Roy Steiner,1,3,10.1257/pandp.20201017
Ruchir Agarwal,1,3,10.1257/pandp.20201017
Russell J. Funk,1,3,10.3386/w26752
Sarah Halpern‐Meekin,1,3,10.2139/ssrn.4154000
Shenggen Fan,1,3,10.1257/pandp.20201017
Stephen A. Wood,1,3,10.1257/pandp.20201017
Steven James,1,3,10.1257/pandp.20201017
Tim G. Benton,1,3,10.1257/pandp.20201017
Vasco Amaral Grilo,1,3,10.1016/j.ijdrr.2022.102798
Veronica Mazariegos-Anastassiou,1,3,10.1257/pandp.20201017
A. K. Pan,1,2,10.2139/ssrn.4154000
Aarne Mämmelä,1,2,10.3386/w26752
Adrian Towse,1,2,10.1257/pandp.20201017
Adrien Bécue,1,2,10.3386/w23928
Alessandra Voena,1,2,10.3386/w28106
Alessandro Belmonte,1,2,10.3386/w28726
Alexandra Prisznyák,1,2,10.3386/w23928
Alexandra Scacco,1,2,10.3386/w30011
Amani Matabaro,1,2,10.3386/w30011
Amanuel Alemu Abajobir,1,2,10.3386/w30011
Andrés Moya,1,2,10.3386/w30011
Angus C. Chu,1,2,10.3386/w23928
Anicet Munyehirwe,1,2,10.3386/w23929
Anna Rogers,1,2,10.3386/w26752
Anthony DeFusco,1,2,10.2139/ssrn.4154000
Anton Bogs,1,2,10.1257/aer.20221215
Antonin Bergeaud,1,2,10.3386/w23928
Arjun Kharel,1,2,10.3386/w30011
Ashish Shenoy,1,2,10.3386/w23929
Ashrita Saran,1,2,10.3386/w23929
Axel Ockenfels,1,2,10.1257/pandp.20201017
Bao-Min Gan,1,2,10.1111/conl.13077
Benjamin Fabian,1,2,10.3386/w23928
Benjamin J. Keys,1,2,10.2139/ssrn.4154000
Bernd Beber,1,2,10.3386/w30011
Bettina Rockenbach,1,2,10.3386/w28726
Brian M. Lucey,1,2,10.3386/w31137
C. Austin Davis,1,2,10.3386/w23929
Caroline Ratcliffe,1,2,10.2139/ssrn.4154000
Carolyn Nekesa,1,2,10.3386/w30011
Cass R. Sunstein,1,2,10.3386/w30740
Chad P. Bown,1,2,10.3386/w26775
Chad Syverson,1,2,10.3386/w23928
Chenxin Ding,1,2,10.1257/aer.20221215
Chiara Colesanti Senni,1,2,10.3386/w31137
Chia‐Hsuan Hsu,1,2,10.1111/conl.13077
Chih-Hsing Liao,1,2,10.3386/w23928
Christodoulos Louca,1,2,10.3386/w23928
Corinne Low,1,2,10.3386/w28106
Cynthia Kinnan,1,2,10.3386/w28726
Daifu Yang,1,2,10.1257/aer.20221215
Daniel Rock,1,2,10.3386/w23928
David Bishai,1,2,10.3386/w26775
David Lagakos,1,2,10.3386/w23929
David M. Silverman,1,2,10.2139/ssrn.4154000
David Phillips,1,2,10.2139/ssrn.4154000
David Yokum,1,2,10.3386/w28726
Denny John,1,2,10.3386/w23929
Derek Foster,1,2,10.1257/pandp.20201017
Dillon Bowen,1,2,10.3386/w28726
Divyangana Rakesh,1,2,10.2139/ssrn.4154000
Dongmei Mu,1,2,10.1257/aer.20221215
Douglas Gollin,1,2,10.3386/w23929
Eduard Talamàs,1,2,10.3386/w23928
Edward Miguel,1,2,10.3386/w28726
Elena Kalotychou,1,2,10.3386/w23928
Ella Beveridge,1,2,10.3386/w23929
Elle Tibbitts,1,2,10.2139/ssrn.4154000
Eric Ochieng,1,2,10.3386/w30011
Erica R.H. Fuchs,1,2,10.1257/pandp.20201017
Erwin Bulte,1,2,10.3386/w23929
Farah Said,1,2,10.3386/w28726
Farrah Jasmine Dingal,1,2,10.1016/j.ijdrr.2022.102798
Filippo Bertani,1,2,10.3386/w23928
Francisco Buera,1,2,10.3386/w23929
Friederike Stock,1,2,10.2139/ssrn.4154000
Gabriel Reyes,1,2,10.2139/ssrn.4154000
Gauri Kartini Shastry,1,2,10.1257/pandp.20201017
Gilbert Cette,1,2,10.3386/w23928
Greg J. Duncan,1,2,10.2139/ssrn.4154000
Guangyu Cao,1,2,10.1257/aer.20221215
Guido Cozzi,1,2,10.3386/w23928
Hanming Fang,1,2,10.3386/w28726
Harrison Mitchell,1,2,10.3386/w23929
Harry Pickard,1,2,10.3386/w28726
Heather Barry Kappes,1,2,10.3386/w28726
Hengchen Dai,1,2,10.3386/w28726
Henrique S. Basso,1,2,10.3386/w23928
Hirokazu Yoshikawa,1,2,10.2139/ssrn.4154000
Hui Mao,1,2,10.3386/w23928
Hui Sun,1,2,10.1257/aer.20221215
Huihong Chang,1,2,10.3386/w23928
Huong Ha,1,2,10.3386/w28726
Ilana Brody,1,2,10.3386/w28726
Ishita Ghai,1,2,10.3386/w30835
Javier Mayoral Sánchez,1,2,10.3386/w23928
Jianhao Lin,1,2,10.1257/aer.20221215
Jianxian Wu,1,2,10.1257/aer.20221215
Jiasong Xie,1,2,10.1257/aer.20221215
Jim Leitzel,1,2,10.2139/ssrn.3938994
Johannes Stroebel,1,2,10.3386/w31137
John Eric Humphries,1,2,10.2139/ssrn.4154000
John Eyers,1,2,10.3386/w23929
João Gama,1,2,10.3386/w23928
Jun Liu,1,2,10.3386/w23928
Jörg Peters,1,2,10.3386/w23929
Kaizhao Guo,1,2,10.3386/w23928
Karim Naguib,1,2,10.3386/w23929
Katharina Büsch,1,2,10.2139/ssrn.4154000
Katharina de Cruppe,1,2,10.3386/w23928
Katherine Dai,1,2,10.3386/w30011
Katherine Magnuson,1,2,10.2139/ssrn.4154000
Kazi Iqbal,1,2,10.3386/w23929
Khánh Hoàng,1,2,10.3386/w31137
Kimberly G. Noble,1,2,10.2139/ssrn.4154000
King King Li,1,2,10.3386/w28726
Kris‐Stella Trump,1,2,10.3386/w28726
Kun Duan,1,2,10.3386/w23928
Lelys Dinarte,1,2,10.3386/w28726
Leon Mait,1,2,10.3386/w28106
Lian Zhou,1,2,10.1257/aer.20221215
Liudmila D. Konovalova,1,2,10.3386/w23928
Lorenz Göette,1,2,10.3386/w28726
Lorenzo Lorenzo‐Luaces,1,2,10.3386/w28106
Lucas Kleine-Stegemann,1,2,10.3386/w23928
Lucian A. Taylor,1,2,10.3386/w31137
Maarit Olkkola,1,2,10.3386/w28726
Magdalena Larreboure,1,2,10.3386/w28106
Mahfoudh Hussein Mgammal,1,2,10.3386/w23928
Mai Vu,1,2,10.3386/w23928
Maira Emy Reimão,1,2,10.3386/w23929
Manisha Shah,1,2,10.3386/w28106
Marcel Fafchamps,1,2,10.3386/w28726
Margaret Kyle,1,2,10.1257/pandp.20201017
Margaret McMillan,1,2,10.3386/w28726
Marinko Škare,1,2,10.3386/w23928
Mary Steffel,1,2,10.3386/w28726
Maryam Mottaghi,1,2,10.1016/j.ijdrr.2022.102798
Masakatsu Nakamura,1,2,10.3386/w23928
Matthias Sutter,1,2,10.3386/w28726
Matthijs M. Maas,1,2,10.48550/arxiv.2305.07153
Maureen Ebben,1,2,10.3386/w23928
Maximiliane Sievert,1,2,10.3386/w23929
Md Nahid Ferdous Pabon,1,2,10.3386/w23929
Melika Miralem,1,2,10.2139/ssrn.4154000
Meng Liu,1,2,10.3386/w23928
Mengdi Liu,1,2,10.1257/aer.20221215
Meriah Lee DeJoseph,1,2,10.2139/ssrn.4154000
Mia Ellis,1,2,10.3386/w28726
Michael Rieser,1,2,10.3386/w28726
Michael Walker,1,2,10.3386/w30011
Michael Waugh,1,2,10.3386/w23929
Michael Y. Roleda,1,2,10.1016/j.ijdrr.2022.102798
Mingwei Xu,1,2,10.1257/aer.20221215
Mohammad Rezoanul Hoque,1,2,10.3386/w23929
Monica E Ellwood-Lowe,1,2,10.2139/ssrn.4154000
Montse Fernández,1,2,10.3386/w23928
Moti Shatner,1,2,10.3386/w26752
Mélissa Hidrobo,1,2,10.3386/w28106
Nahian Azad Shashi,1,2,10.3386/w23929
Nan Jia,1,2,10.3386/w23928
Natalie Bau,1,2,10.3386/w28106
Nathan A. Fox,1,2,10.2139/ssrn.4154000
Nathan Fiala,1,2,10.3386/w23929
Niccolò F. Meriggi,1,2,10.3386/w30011
Nicole Kovski,1,2,10.2139/ssrn.4154000
Nikhil Kalathil,1,2,10.1257/pandp.20201017
Nina Blöndal,1,2,10.3386/w23929
Nneka Osadolor,1,2,10.3386/w30835
Nuole Chen,1,2,10.3386/w28726
Nursena Aksünger,1,2,10.3386/w30011
Ottmar Edenhofer,1,2,10.3386/w32450
Paula López-Peña,1,2,10.3386/w23929
Pedro Quelhas Brito,1,2,10.3386/w23928
Peiyao Shen,1,2,10.3386/w28726
Peter Buxmann,1,2,10.3386/w23928
Pheliciah Mwachofi,1,2,10.3386/w30011
Philipp Barteska,1,2,10.3386/w28726
Post Raj Pokharel,1,2,10.3386/w31137
R. Amirikas,1,2,10.3386/w23928
Rachit Dhiman,1,2,10.3386/w23928
Rebecca Johnson,1,2,10.3386/w28726
Rebecca Littman,1,2,10.3386/w30011
Rekha Balu,1,2,10.3386/w28726
Robert Collinson,1,2,10.2139/ssrn.4154000
Robert F. Stambaugh,1,2,10.3386/w31137
Robin L. Chazdon,1,2,10.21203/rs.3.rs-3235955/v1
Russell Burnett,1,2,10.3386/w28726
Russell Golman,1,2,10.2139/ssrn.3938994
Rémy Lecat,1,2,10.3386/w23928
Saad B. Omer,1,2,10.3386/w28726
Sabina Shaikh,1,2,10.2139/ssrn.3938994
Sara Lowes,1,2,10.3386/w28106
Sarah Shaukat,1,2,10.3386/w28726
Saurabh Mishra,1,2,10.3386/w23928
Seong‐Jin Park,1,2,10.3386/w23928
Seth Benzell,1,2,10.3386/w23928
Shalini Roy,1,2,10.3386/w28106
Shaojian Chen,1,2,10.3386/w23928
Sheshadri Chatterjee,1,2,10.3386/w23928
Shih-Chi Ma,1,2,10.3386/w23928
Shi‐Sheng Liu,1,2,10.1111/conl.13077
Shmuel San,1,2,10.3386/w23928
Siliang Tong,1,2,10.3386/w23928
Silvia Saccardo,1,2,10.3386/w28726
Sin-Tung Choi,1,2,10.1111/conl.13077
Sofia Miteff,1,2,10.3386/w23928
Sonia Parratt Fernández,1,2,10.3386/w23928
Sonja Dobkowitz,1,2,10.3386/w28726
Sreyashi Sharmin,1,2,10.3386/w28106
Stephanie Bonds,1,2,10.3386/w30835
Steven McCabe,1,2,10.3386/w32450
Suchi Kapoor Malhotra,1,2,10.3386/w23929
Suwen Ge,1,2,10.2139/ssrn.4154000
