author,n_seed_dois_cited,n_citing_works,seed_dois
Wendy Janssens,1,2,10.3386/w30011
Willem E. Frankenhuis,1,2,10.2139/ssrn.4154000
Winnie van Dijk,1,2,10.2139/ssrn.4154000
Xi Weng,1,2,10.1257/aer.20221215
Xianfeng Zhang,1,2,10.1257/aer.20221215
Xiang Hui,1,2,10.3386/w23928
Xiaoyu Chen,1,2,10.1257/aer.20221215
Ximeng Fang,1,2,10.3386/w28726
Xinyi Lv,1,2,10.1257/aer.20221215
Xueming Luo,1,2,10.3386/w23928
Xueping Liang,1,2,10.1257/aer.20221215
Yacov Tsur,1,2,10.1257/aer.20221215
Yi Li,1,2,10.3386/w23928
Yu Gao,1,2,10.2139/ssrn.3938994
Yu Qian,1,2,10.3386/w23928
Yuan Zhi Seah,1,2,10.3386/w28726
Yuancheng Wang,1,2,10.3386/w23928
Yuichi Furukawa,1,2,10.3386/w23928
Yvonne van Dalen,1,2,10.3386/w30011
Zachary Wagner,1,2,10.3386/w30835
Zafer Kanik,1,2,10.3386/w23928
Zhaoxuan Qiu,1,2,10.1257/aer.20221215
Zheng Fang,1,2,10.3386/w23928
Zhiwei Wang,1,2,10.1257/aer.20221215
Ľuboš Pástor,1,2,10.3386/w31137
A R T Hidayat,1,1,10.3386/w23929
A. K. Chaurasia,1,1,10.3386/w31137
A. Rani Elwy,1,1,10.3386/w28726
A. Yu. Kolpakov,1,1,10.3386/w32450
A. de Ruyter,1,1,10.3386/w32450
A.C. Sim,1,1,10.1093/ej/uead102
Aaron S. Kesselheim,1,1,10.1257/pandp.20201017
Aaron Salzberg,1,1,10.1093/wbro/lkae010
Abdelaziz Abdalla Alowais,1,1,10.3386/w31354
Abdullah M. Baabdullah,1,1,10.3386/w23928
Abeba N. Turi,1,1,10.3386/w23928
Abel Lucena,1,1,10.3386/w31899
Abhishek Gupta,1,1,10.48550/arxiv.2305.07153
Abideen Salako,1,1,10.3386/w30835
Abraham Loeb,1,1,10.48550/arxiv.2305.07153
Abu Shonchoy,1,1,10.3386/w23929
Abubakr Suliman,1,1,10.3386/w31354
Achim Wambach,1,1,10.3386/w26775
Adam Laycock,1,1,10.1093/wbro/lkae010
Adam McCloskey,1,1,10.3386/w28726
Adam Rose,1,1,10.3386/w32450
Adeline Delavande,1,1,10.3386/w28726
Adeyinka Tella,1,1,10.3386/w23928
Adrian Stoian,1,1,10.3386/w23928
Adriana Ibiti,1,1,10.3386/w23928
Adrien Bilal,1,1,10.3386/w32450
Adélaïde Fadhuile,1,1,10.3386/w30740
Aelita Sargsyan,1,1,10.1093/wbro/lkae010
Afaf Bouhoute,1,1,10.3386/w23928
Afshan Naseem,1,1,10.48550/arxiv.2305.07153
Agnė Paliokaitė,1,1,10.3386/w31899
Agudelo Nicolás,1,1,10.1257/pandp.20201017
Aguilar David,1,1,10.1257/pandp.20201017
Ahmed Karmaoui,1,1,10.3386/w23928
Ahmed M. Fallatah,1,1,10.3386/w30835
Ahsan Alam,1,1,10.3386/w28106
Aidan Coville,1,1,10.1093/ej/uead102
Aidan Hollis,1,1,10.1257/pandp.20201017
Aikaterini Taka,1,1,10.2139/ssrn.4154000
Aishwarya Atluri,1,1,10.3386/w30835
Ajay Pillarisetti,1,1,10.3386/w32450
Akash R. Wasil,1,1,10.3386/w28106
Akhter Ahmed,1,1,10.3386/w28106
Akimitsu Hirota,1,1,10.3386/w23928
Akshay Kotak,1,1,10.3386/w26752
Alain Quinet,1,1,10.3386/w23928
Alain de Janvry,1,1,10.3386/w28726
Alan Chan,1,1,10.48550/arxiv.2305.07153
Alan de Brauw,1,1,10.3386/w23929
Albert Quek,1,1,10.3386/w23928
Alberto Binetti,1,1,10.3386/w32073
Alberto Ciancio,1,1,10.3386/w28726
Alberto Costantiello,1,1,10.3386/w23928
Alberto Garcı́a,1,1,10.3386/w31554
Alberto González‐García,1,1,10.3386/w31554
Aleida March,1,1,10.3386/w28106
Alejandro Ganimian,1,1,10.3386/w31208
Aleksandr Christenko,1,1,10.3386/w31899
Aleksei V. Bogoviz,1,1,10.3386/w23928
Alessandra Calvo–Friedman,1,1,10.2139/ssrn.4154000
Alessandro Palma,1,1,10.3386/w30740
Alex Tabarrok,1,1,10.3386/w26775
Alexander F. Wagner,1,1,10.3386/w31137
Alexander Kopka,1,1,10.3386/w23928
Alexander Pfaff,1,1,10.1257/pandp.20201017
Alexandr V. Lukashin,1,1,10.3386/w23928
Alexandra Hartman,1,1,10.1257/aeri.20210612
Alexandra Sadler,1,1,10.3386/w31137
Alexandre Alahi,1,1,10.48550/arxiv.2305.07153
Alexandre Garel,1,1,10.3386/w31137
Alexandre Sollaci,1,1,10.3386/w32450
Alexey Makarin,1,1,10.1257/aeri.20210612
Alexis Poindron,1,1,10.3386/w28726
Alfonso Sousa‐Poza,1,1,10.3386/w30202
Alfredo Burlando,1,1,10.3386/w28726
Alice Dominici,1,1,10.3386/w28726
Alina Fahrenwaldt,1,1,10.2139/ssrn.3938994
Alireza Ghassemi Toussi,1,1,10.1093/wbro/lkae010
Alison Karasz,1,1,10.3386/w28106
Alissa Kleinnijenhuis,1,1,10.3386/w32450
Allison Witman,1,1,10.2139/ssrn.4154000
Altuğ Günar,1,1,10.3386/w23928
Alvin E. Roth,1,1,10.1257/pandp.20201017
Alvin Kuowei Tay,1,1,10.3386/w28106
Alyas Widita,1,1,10.1093/ej/uead102
Amanda Johnson,1,1,10.2139/ssrn.4154000
Amanda Lenhardt,1,1,10.3386/w28106
Amar Rao,1,1,10.3386/w31137
Amber van Druten,1,1,10.2139/ssrn.3938994
Amel Gacem,1,1,10.3386/w30835
Amelia Clarke,1,1,10.3386/w32450
Amir Jina,1,1,10.3386/w30011
Amitrajeet A. Batabyal,1,1,10.1257/aeri.20230431
Amrita Ahuja,1,1,10.3386/w26775
Amrita Singh,1,1,10.3386/w31137
Amy Freeman,1,1,10.2139/ssrn.4154000
Amy McQueen,1,1,10.2139/ssrn.3938994
Amy Ogan,1,1,10.2139/ssrn.4154000
Améline Vallet,1,1,10.3386/w31554
Ana Julia Paula Carcedo,1,1,10.3386/w26752
Ana Paula Cusolito,1,1,10.3386/w23928
Ana-Maria Boromisa,1,1,10.3386/w32450
Anand M. Osuri,1,1,10.21203/rs.3.rs-3235955/v1
Anand Nair,1,1,10.1287/mnsc.2023.4846
Anant Bhan,1,1,10.3386/w30011
Anastasia Spartinou,1,1,10.2139/ssrn.4154000
Anazélia M. Tedesco,1,1,10.21203/rs.3.rs-3235955/v1
Anca Balietti,1,1,10.3386/w23929
Anca D. Dragan,1,1,10.48550/arxiv.2305.07153
Anders Bach‐Mortensen,1,1,10.3386/w28106
Anders H. Lund,1,1,10.3386/w26752
Anders Kjelsrud,1,1,10.3386/w28106
Anders Kärnä,1,1,10.3386/w26752
Anders Sandberg,1,1,10.31219/osf.io/vrmpf
Andrea Prieto,1,1,10.3386/w31208
Andrea Repetto,1,1,10.3386/w28106
Andrea Sauchelli,1,1,10.1016/j.cognition.2021.104941
Andrea Teglio,1,1,10.3386/w23928
Andrea Éltető,1,1,10.3386/w23928
Andreas G. F. Hoepner,1,1,10.3386/w31137
Andreas Kjær Stage,1,1,10.3386/w31409
Andreas Kotsadam,1,1,10.3386/w28106
Andreas Löschel,1,1,10.2139/ssrn.3938994
Andreas Mokros,1,1,10.3386/w30011
Andreas Richter,1,1,10.3386/w31137
Andreas T. Schmidt,1,1,10.1016/j.cognition.2021.104941
Andreas de Barros,1,1,10.3386/w31208
Andrew Balmford,1,1,10.1111/conl.13077
Andrew Barry,1,1,10.3386/w26775
Andrew Chi-Chih Yao,1,1,10.48550/arxiv.2305.07153
Andrew Huey Ping Tan,1,1,10.3386/w23928
Andrew J. McDonald,1,1,10.1257/aeri.20230431
Andrew Laitha,1,1,10.3386/w31354
Andrew Simon,1,1,10.3386/w32093
Andrew Urquhart,1,1,10.3386/w31137
Andrii Vitrenko,1,1,10.3386/w23928
André Jungmittag,1,1,10.3386/w23928
Andrés Felipe Suárez‐Castro,1,1,10.21203/rs.3.rs-3235955/v1
Andrés José Morales Pantoja,1,1,10.3386/w23928
Andy Gray,1,1,10.1257/pandp.20201017
Angela Duckworth,1,1,10.2139/ssrn.4154000
Angela Ofori-Atta,1,1,10.3386/w28106
Angelo Leogrande,1,1,10.3386/w23928
Angelos Theodorakopoulos,1,1,10.3386/w23928
Angélica M. Almeyda Zambrano,1,1,10.21203/rs.3.rs-3235955/v1
Anil Cacodcar,1,1,10.1257/pandp.20201017
Anirudh Sankar,1,1,10.3386/w28726
Anja Groth,1,1,10.3386/w26752
Anjali Kapoor,1,1,10.3386/w23928
Anjana Singh,1,1,10.3386/w23928
Anjini Kochar,1,1,10.1257/pandp.20201017
Anju Mishra,1,1,10.3386/w23928
Ankai Xu,1,1,10.1257/pandp.20201017
Anke Haberkamp,1,1,10.3386/w30011
Ann H. Kelly,1,1,10.3386/w26775
Ann P. Kinzig,1,1,10.3386/w32450
Anna Cretì,1,1,10.3386/w31137
Anna Fabry,1,1,10.3386/w31354
Anna Gassman‐Pines,1,1,10.2139/ssrn.4154000
Anna Reuter,1,1,10.3386/w28726
Anna Schrimpf,1,1,10.3386/w28726
Anna Tompsett,1,1,10.3386/w30835
Annan Khampeera,1,1,10.3386/w32450
Anne Bartsch,1,1,10.1093/ej/uead102
Anne Karing,1,1,10.3386/w28726
Anne de Saint Martin,1,1,10.3386/w23928
Anson Ho,1,1,10.3386/w23928
Anthony J. Pavlo,1,1,10.3386/w28106
Antoine Nebout,1,1,10.3386/w30740
Antonio Gaitán Torres,1,1,10.1016/j.cognition.2021.104941
Anujit Chakraborty,1,1,10.3386/w32073
Anushka Patel,1,1,10.3386/w30011
Aparna Gomes,1,1,10.3386/w26775
Aras Canipek,1,1,10.3386/w31137
Arben Asllani,1,1,10.3386/w23928
Areti Lagiou,1,1,10.3386/w31899
Areti-Dimitra Koulouvari,1,1,10.3386/w31899
Arezou Harraf,1,1,10.3386/w23928
Ariadna Angulo-Brunet,1,1,10.3386/w23928
Arianna Martinelli,1,1,10.3386/w23928
Arief Anshory Yusuf,1,1,10.3386/w23928
Arielle Bernhardt,1,1,10.3386/w31162
Arjun Goyal,1,1,10.3386/w23928
Arkodipta Sarkar,1,1,10.1257/aer.20221215
Armin Mertens,1,1,10.3386/w23928
Arnab Acharya,1,1,10.1257/pandp.20201017
Arndt Reichert,1,1,10.1093/ej/uead102
Arregocés Leonardo,1,1,10.1257/pandp.20201017
Arthur Baker,1,1,10.3386/w26775
Arthur Moonga,1,1,10.3386/w28106
Arthur Romec,1,1,10.3386/w31137
Arti Singh,1,1,10.3386/w23928
Asbjørn Andersen,1,1,10.3386/w28106
Asha Sundaram,1,1,10.3386/w23928
Ashish Arora,1,1,10.3386/w31899
Ashley V. Whillans,1,1,10.3386/w28106
Ashwin Acharya,1,1,10.48550/arxiv.2305.07153
Asif Ali Laghari,1,1,10.3386/w23928
Asuman Ozdaglar,1,1,10.3386/w23928
Atheendar Venkataramani,1,1,10.3386/w28106
Atılım Güneş Baydin,1,1,10.48550/arxiv.2305.07153
Audun Langørgen,1,1,10.3386/w28726
Aurika Mundrytė,1,1,10.3386/w23928
Aurinta Elenskė,1,1,10.3386/w31899
Aurélien Baillon,1,1,10.2139/ssrn.3938994
Aviv Ovadya,1,1,10.48550/arxiv.2305.07153
Awais Khan Jumani,1,1,10.3386/w23928
Ayman Abdalmajeed Alsmadi,1,1,10.3386/w28106
Ayoub Saei,1,1,10.1093/wbro/lkae010
B Shrestha,1,1,10.3386/w31208
B. Akomolafe,1,1,10.3386/w32450
B. Dhillon,1,1,10.1257/aeri.20230431
B. Kelsey Jack,1,1,10.3386/w32728
B. N. Lakshmi Narayan,1,1,10.3386/w23928
B. N. Porfiriev,1,1,10.3386/w32450
B. S. Karky,1,1,10.3386/w31137
B. Wang,1,1,10.3386/w32450
B.V.E. Hyde,1,1,10.1016/j.cognition.2021.104941
Babatunde Adewale,1,1,10.3386/w30835
Babatunde Lawal Salako,1,1,10.3386/w30835
Bachir El Khadir,1,1,10.3386/w26752
Baihui Pan,1,1,10.2139/ssrn.4154000
Baizhen Zhang,1,1,10.3386/w23928
Balasubramani Ravindran,1,1,10.3386/w30835
Balusu Nandini,1,1,10.3386/w23928
Baohua Yang,1,1,10.3386/w23928
Barnabás Szászi,1,1,10.2139/ssrn.4154000
Bart Verspagen,1,1,10.3386/w23928
Bashiru Yachori,1,1,10.3386/w30835
Bassirou Karimou,1,1,10.3386/w28106
Bastian Schnabel,1,1,10.3386/w30835
Bastien Kolt,1,1,10.3386/w28106
Battista Biggio,1,1,10.48550/arxiv.2305.07153
Bauyrzhan Yedgenov,1,1,10.1093/ej/uead102
Beatriz Elena Marín Ochoa,1,1,10.3386/w23928
Bella Tonkonogy,1,1,10.3386/w26775
Ben Bucknall,1,1,10.48550/arxiv.2305.07153
Ben Garfinkel,1,1,10.48550/arxiv.2305.07153
Bence Pálfi,1,1,10.2139/ssrn.4154000
Benjamin Collier,1,1,10.3386/w31137
Benjamin Dennis,1,1,10.3386/w31137
Benjamin Faber,1,1,10.3386/w23929
Benjamin Golub,1,1,10.3386/w28726
Benjamin K. Sovacool,1,1,10.1257/pandp.20201017
Benjamin Ly Serena,1,1,10.3386/w30011
Benjamin Lê Cook,1,1,10.2139/ssrn.4154000
Benjamin Olken,1,1,10.3386/w28726
Benjamin Wall,1,1,10.3386/w26752
Benny Smith,1,1,10.2139/ssrn.3938994
Bernardo A. Bastien-Olvera,1,1,10.3386/w29357
Bernardo Buarque,1,1,10.3386/w23928
Berta Martín‐López,1,1,10.21203/rs.3.rs-3235955/v1
Bertin Martens,1,1,10.3386/w23928
Bertrand Garbinti,1,1,10.3386/w23928
Bethany Springer,1,1,10.2139/ssrn.4154000
Beverley Nielsen,1,1,10.3386/w32450
Beáta Gavurová,1,1,10.3386/w23928
Bharat R. Hazari,1,1,10.3386/w23928
Bhattacharjee Suchiradipta,1,1,10.3386/w26752
Bhaven N. Sampat,1,1,10.1257/pandp.20201017
Bianca Vandresen,1,1,10.1080/21606544.2022.2138980
Bill Schultz,1,1,10.3386/w28726
Bin Guo,1,1,10.3386/w23928
Bin Sang,1,1,10.3386/w23928
Bing Zheng,1,1,10.3386/w23928
Binghan Jiang,1,1,10.3386/w31137
Bingjian Zhao,1,1,10.3386/w23928
Bingnan Guo,1,1,10.1257/aer.20221215
Bingqin Li,1,1,10.3386/w23928
Bingrui Gao,1,1,10.1257/aer.20221215
Birgit Stark,1,1,10.1093/ej/uead102
Bo Jellesmark Thorsen,1,1,10.3386/w31137
Bo Zhang,1,1,10.1257/aer.20221215
Bob Fischer,1,1,10.1080/21606544.2022.2138980
Bohua Yang,1,1,10.3386/w23928
Bohui Zhang,1,1,10.1257/aer.20221215
Bongani Andy Mabaso,1,1,10.3386/w23928
Bouchra Al Mawla,1,1,10.3386/w23928
Boudhir Anouar Abdelhakim,1,1,10.3386/w23928
Bowen Guan,1,1,10.3386/w23929
Brad Wong,1,1,10.3386/w31208
Brajesh Tripathi,1,1,10.3386/w30011
Brandon Joel Tan,1,1,10.3386/w26775
Branko Katalinić,1,1,10.3386/w23928
Brian Beckage,1,1,10.3386/w32450
Brian C. Albrecht,1,1,10.1257/pandp.20201017
Brian Jabarian,1,1,10.3386/w23928
Brian Jacob,1,1,10.2139/ssrn.4154000
Brian O’Callaghan,1,1,10.3386/w31137
Brittney Sandler,1,1,10.3386/w28726
Brooke Williams,1,1,10.21203/rs.3.rs-3235955/v1
Bruce P. Lanphear,1,1,10.1093/wbro/lkae010
Bryan Le,1,1,10.3386/w23928
Bryan Patenaude,1,1,10.3386/w30011
Busara Lab Busara Lab,1,1,10.3386/w28106
Béatrice Roussillon,1,1,10.3386/w30740
C. D. West,1,1,10.3386/w28106
C. Felicia Lyu,1,1,10.3386/w23928
Canice Prendergast,1,1,10.3386/w26775
Cao Truong Son,1,1,10.3386/w30835
Carl Johan Lagerkvist,1,1,10.3386/w31137
Carl Shulman,1,1,10.1016/j.cognition.2021.104941
Carlo Drago,1,1,10.3386/w23928
Carlos A. Ibarra,1,1,10.3386/w23928
Carlos Alberto Dória,1,1,10.3386/w31208
Carlos Fanjul Peyró,1,1,10.3386/w23928
Carlos Gould,1,1,10.3386/w32450
Carlos Hernández,1,1,10.3386/w26752
Carlos Riumalló‐Herl,1,1,10.3386/w28726
Carlos Torres,1,1,10.3386/w28726
Carly Molloy,1,1,10.3386/w28726
Caroline Delaire,1,1,10.3386/w30835
Caroline Theoharides,1,1,10.3386/w23929
Carolyn A. Berry,1,1,10.2139/ssrn.4154000
Carson Ezell,1,1,10.48550/arxiv.2305.07153
Carter Walter Bloch,1,1,10.3386/w31409
Caspar Kaiser,1,1,10.3386/w28106
Catarina C. Jakovac,1,1,10.21203/rs.3.rs-3235955/v1
Catherine H. Tinsley,1,1,10.3386/w28106
Catherine Thomas,1,1,10.3386/w28106
Cecilia Castaldo,1,1,10.3386/w30740
Cecilia Springer,1,1,10.1257/aer.20221215
Celestina Heepen,1,1,10.3386/w31354
Celso Brunetti,1,1,10.3386/w31137
Cem Yavuz,1,1,10.1257/pandp.20201017
Cemre YILDIZ,1,1,10.3386/w23928
Ceren Arslan Kazan,1,1,10.3386/w23928
Chad M. Baum,1,1,10.1257/pandp.20201017
Chadwick Curtis,1,1,10.3386/w32450
Chaehee Shin,1,1,10.3386/w31137
Chan Seob Nam,1,1,10.3386/w28106
Chang Hwan Choi,1,1,10.3386/w23928
Changbiao Zhong,1,1,10.3386/w23928
Chao Fang,1,1,10.3386/w23928
Chao Yin,1,1,10.1257/aer.20221215
Chaolin Tian,1,1,10.48550/arxiv.2107.06476
Charity Troyer Moore,1,1,10.3386/w23929
Charles A. Emogor,1,1,10.1111/conl.13077
Charles Efferson,1,1,10.3386/w28726
Charles Harper,1,1,10.3386/w26775
Charles T. Anderson,1,1,10.1016/j.ijdrr.2022.102798
Charles‐Albert Lehalle,1,1,10.3386/w23928
Charlie A. Davidson,1,1,10.3386/w28106
Charlie Giattino,1,1,10.3386/w23928
Charlotte H. Chang,1,1,10.1257/aer.20221215
Charlotte Stix,1,1,10.48550/arxiv.2305.07153
Charlotte Süring,1,1,10.3386/w31137
Chayce R. Baldwin,1,1,10.2139/ssrn.4154000
Chen Ye,1,1,10.1287/mnsc.2023.4846
Chen Zeming,1,1,10.1257/aer.20221215
Chengyan Xu,1,1,10.2139/ssrn.3938994
Chengying He,1,1,10.3386/w23928
Chengzhang Wang,1,1,10.3386/w23928
Chenhui Ding,1,1,10.3386/w23928
Chenxiao Wang,1,1,10.3386/w23928
Chenyu Li,1,1,10.3386/w31137
Chiara Criscuolo,1,1,10.3386/w23928
Chia‐Hui Lu,1,1,10.3386/w23928
Chie Hanaoka,1,1,10.1257/aeri.20210612
Chin-Leei Cham,1,1,10.3386/w23928
Chisangu Matome,1,1,10.3386/w28106
Chong Zhuo,1,1,10.1257/aer.20221215
Choo‐Yee Ting,1,1,10.3386/w23928
Chris Emmanuel Tchatchouang Wanko,1,1,10.3386/w23928
Chris R. Shepherd,1,1,10.1111/conl.13077
Chris Snyder,1,1,10.3386/w26775
Chrispus Mayora,1,1,10.3386/w26775
Christian J. Merz,1,1,10.3386/w30011
Christian Leuz,1,1,10.1257/aer.20221215
Christian M. Dahl,1,1,10.3386/w31162
Christian Montag,1,1,10.3386/w23928
Christian Pentzold,1,1,10.1093/ej/uead102
Christian Schemer,1,1,10.1093/ej/uead102
Christian Schmid,1,1,10.3386/w28106
Christina Gravert,1,1,10.3386/w30740
Christina Hartmann,1,1,10.2139/ssrn.3938994
Christina Strauss,1,1,10.3386/w23928
Christina Then-Bergh,1,1,10.3386/w23928
Christoph Feldhaus,1,1,10.2139/ssrn.3938994
Christoph Nedopil,1,1,10.1257/aer.20221215
Christoph Neuberger,1,1,10.1093/ej/uead102
Christoph Winter,1,1,10.48550/arxiv.2305.07153
Christopher A. Hartwell,1,1,10.3386/w23928
Christopher Avery,1,1,10.1257/pandp.20201017
Christopher Dye,1,1,10.3386/w28726
Christopher Gan,1,1,10.3386/w23928
Christopher Roth,1,1,10.3386/w30011
Christopher Yan-Chak Chan,1,1,10.1016/j.ijdrr.2022.102798
Christos Batsis,1,1,10.2139/ssrn.4154000
Chuanhao Wen,1,1,10.3386/w23928
Chuanjie Wang,1,1,10.3386/w31137
Chuanwang Sun,1,1,10.1257/aer.20221215
Chuntian Lu,1,1,10.1257/aer.20221215
Chunyuan Zhang,1,1,10.3386/w23928
Chunzhi Li,1,1,10.3386/w23929
Cihan Uzmanoglu,1,1,10.3386/w31137
Claire Mackevicius,1,1,10.3386/w23929
Claudette Salinas,1,1,10.48550/arxiv.2305.07153
Claudia Liceth Fajardo Hoyos,1,1,10.3386/w23928
Claudio Guillermo Rosell Arce,1,1,10.3386/w23928
Claudio Rizzi,1,1,10.3386/w31137
Clemens Breisinger,1,1,10.3386/w28726
Clevo Wilson,1,1,10.1111/conl.13077
Clíodhna Ní Ghuidhir,1,1,10.48550/arxiv.2305.07153
Cole Hooley,1,1,10.3386/w28726
Colin Vance,1,1,10.3386/w32728
Congming Ding,1,1,10.1257/aer.20221215
Connie Susilawati,1,1,10.1111/conl.13077
Constantin Arnscheidt,1,1,10.1016/j.ijdrr.2022.102798
Constantin Grywatz,1,1,10.1257/pandp.20201017
Constantin W. Arnscheidt,1,1,10.1016/j.ijdrr.2022.102798
Constantina Skanavis,1,1,10.3386/w31899
Corinthias P. M. Sianipar,1,1,10.3386/w23929
Cornelia Niessen,1,1,10.3386/w30011
Cristian A. Cruz-Rodríguez,1,1,10.21203/rs.3.rs-3235955/v1
Cristian Larroulet Philippi,1,1,10.3386/w28106
Cristina Cornelio,1,1,10.3386/w26752
Cuihong Long,1,1,10.3386/w23929
Cuong Nguyen Thanh,1,1,10.3386/w23928
Cyrille Schwellnus,1,1,10.3386/w23928
Cátia Batista,1,1,10.3386/w28726
Céline Antonin,1,1,10.3386/w23928
D Fetters Michael,1,1,10.3386/w31208
Da Zhang,1,1,10.1257/aer.20221215
Daixin He,1,1,10.3386/w28726
Damien Besancenot,1,1,10.3386/w26752
Damilola S. Olawuyi,1,1,10.3386/w31137
Dan Braun,1,1,10.48550/arxiv.2305.07153
Dan Salmon,1,1,10.3386/w26775
Dana Miller‐Cotto,1,1,10.2139/ssrn.4154000
Dana Suskind,1,1,10.3386/w23929
Daniel Brisson,1,1,10.3386/w28106
Daniel C. Esty,1,1,10.3386/w26775
Daniel Cohen,1,1,10.3386/w23928
Daniel Darbyshire,1,1,10.2139/ssrn.4154000
Daniel Ershov,1,1,10.1093/ej/uead102
Daniel Garcia-Macia,1,1,10.3386/w32450
Daniel Graeber,1,1,10.3386/w28106
Daniel J. Ingram,1,1,10.1111/conl.13077
Daniel Kahneman,1,1,10.48550/arxiv.2305.07153
Daniel Kwaah,1,1,10.3386/w30835
Daniel Llerena,1,1,10.3386/w30740
Daniel P. Gross,1,1,10.1257/pandp.20201017
Daniel R. Richards,1,1,10.3386/w31554
Daniel Schäffer,1,1,10.3386/w23929
Daniel W. Phillips,1,1,10.1257/pandp.20201017
Daniela Fazio,1,1,10.2139/ssrn.4154000
Daniela Pennetta,1,1,10.3386/w31137
Danny Cassimon,1,1,10.1257/pandp.20201017
Danxia Xie,1,1,10.3386/w23928
Daojun Li,1,1,10.3386/w23928
Daqian Shi,1,1,10.1257/aer.20221215
Dave Donaldson,1,1,10.3386/w23929
Dave Nellesen,1,1,10.3386/w26775
David B. Audretsch,1,1,10.3386/w23928
David C. Phillips,1,1,10.2139/ssrn.4154000
David Casagrande,1,1,10.3386/w32450
David Chipanta,1,1,10.3386/w28106
David Doloreux,1,1,10.3386/w23928
David Gonzalez-Jimenez,1,1,10.2139/ssrn.3938994
David Hume,1,1,10.3386/w30740
David J. Abson,1,1,10.21203/rs.3.rs-3235955/v1
David J. Kupfer,1,1,10.3386/w23928
David K. Evans,1,1,10.1257/pandp.20201017
David Krueger,1,1,10.48550/arxiv.2305.07153
David Kwon,1,1,10.3386/w26752
David McAdams,1,1,10.1257/pandp.20201017
David McKenzie,1,1,10.3386/w23929
David Mhlanga,1,1,10.3386/w23928
David Piachaud,1,1,10.3386/w23928
David Proudman,1,1,10.3386/w26775
David Rhys Bernard,1,1,10.3386/w28106
Davide Cantoni,1,1,10.3386/w33018
Davide D. Pace,1,1,10.2139/ssrn.3938994
Dawn Song,1,1,10.48550/arxiv.2305.07153
Dean Yang,1,1,10.3386/w23929
Debapriya Mondal,1,1,10.1093/wbro/lkae010
Debasish Sur,1,1,10.3386/w23928
Decheng Fan,1,1,10.3386/w23928
Demetris Vrontis,1,1,10.3386/w23928
Denisse Piérola,1,1,10.2139/ssrn.4154000
Dennis Wesselbaum,1,1,10.3386/w23928
Deqiu Chen,1,1,10.1257/aer.20221215
Dequn Teng,1,1,10.1287/mnsc.2023.4846
Derrick Silove,1,1,10.3386/w28106
Desheng Wu,1,1,10.1257/aer.20221215
Desmond McNeill,1,1,10.1257/pandp.20201017
Dev Patel,1,1,10.3386/w28726
Devesh Singh,1,1,10.3386/w23928
Diala Hajal,1,1,10.3386/w31208
Dianna Amasino,1,1,10.2139/ssrn.3938994
Didier Blanchet,1,1,10.3386/w23928
Didier Lebert,1,1,10.3386/w28726
Diego Bastos,1,1,10.21203/rs.3.rs-3235955/v1
Diego R. Känzig,1,1,10.3386/w32450
Dieter F. Kogler,1,1,10.3386/w23928
Dimitrios Kourouklis,1,1,10.1257/pandp.20201017
Dimitrios P. Tsomocos,1,1,10.3386/w26752
Dimitrios Xefteris,1,1,10.1093/ej/uead102
Dirk Gerritsen,1,1,10.3386/w31137
Divya Mudappa,1,1,10.21203/rs.3.rs-3235955/v1
Divya Solomon,1,1,10.1257/aeri.20230431
Diyi Yang,1,1,10.3386/w23928
Dmitri Kofanov,1,1,10.2139/ssrn.4154000
Dmitry Namiot,1,1,10.48550/arxiv.2305.07153
Dominic Chalmers,1,1,10.3386/w23928
Dominic S. Ogu,1,1,10.1111/conl.13077
Dominik Hangartner,1,1,10.1257/aeri.20210612
Dominique Goux,1,1,10.3386/w23928
Donald P. Morgan,1,1,10.3386/w31137
Douglas Glandon,1,1,10.1257/pandp.20201017
Dovilė Ruplienė,1,1,10.3386/w23928
Drew H. Bailey,1,1,10.2139/ssrn.4154000
Drupad Nair,1,1,10.3386/w28106
Duan Biggs,1,1,10.1111/conl.13077
Duc Dung Le,1,1,10.3386/w31162
Duncan A.Q. Moore,1,1,10.3386/w31409
Dunigan Parker Folk,1,1,10.3386/w28106
Duo Xu,1,1,10.3386/w23928
Durgadas Menon,1,1,10.1257/pandp.20201017
Dylan Hogan,1,1,10.3386/w32450
E. A. Lazeeva,1,1,10.3386/w32450
E. Richard Gold,1,1,10.3386/w26752
Ea Høg Utoft,1,1,10.3386/w31409
Eben N. Broadbent,1,1,10.21203/rs.3.rs-3235955/v1
Ed Noyons,1,1,10.3386/w26752
Edmund W. Cheng,1,1,10.1257/aer.20221215
Edward Glaeser,1,1,10.3386/w23929
Edward H. Soule,1,1,10.3386/w28106
Edward Kong,1,1,10.1257/pandp.20201017
Egon Tripodi,1,1,10.3386/w30011
Ehsan Azarmsa,1,1,10.3386/w31137
Ehsan Valavi,1,1,10.3386/w23928
Eirini Trachanatzi,1,1,10.2139/ssrn.4154000
Ekaterina A. Shlapeko,1,1,10.3386/w32450
Ekaterina Khmelnitskaya,1,1,10.1257/pandp.20201017
Ekaterina Levitskaya,1,1,10.3386/w26752
Ekaterine Ruadze,1,1,10.1093/wbro/lkae010
Eleftherios Andreadis,1,1,10.3386/w23928
Elena Grinza,1,1,10.3386/w23928
Elena V. Lukashina,1,1,10.3386/w23928
Eleni Tasika,1,1,10.2139/ssrn.4154000
